id,code,name,partner_id/id,phone,address,franchise_start_date,franchise_end_date,description,status,portal_locked,invoiced
franchise_h001,H001,[H001] Cửa hàng 168 Phan Văn Mảng,wujia_franchise.partner_franchise_h001,0792770168,"168 Phan Văn Mảng, thị trấn Bến Lức, huyện Bến Lức, tỉnh Long An",2026-08-27,,"Cấm 5T, Cấm giờ",draft,0,0
franchise_h003,H003,Cửa hàng D11 Cư Xá Phú Lâm,wujia_franchise.partner_franchise_h003,0777278818,"D11 Cư Xá Phú Lâm B, Phường 13, Quận 6,TP.HCM",2026-08-27,,Cấm 6h-9h; 16h-20h,draft,0,0
franchise_h004,H004,Cửa hàng 127 Mã Lò,wujia_franchise.partner_franchise_h004,0775636038,"127 Mã Lò, Phường Bình Trị Đông A, Quận Bình Tân, TP.HCM",2025-06-17,2026-06-17,Cấm 6h-9h; 16h-2h,expired,0,0
franchise_h005,H005,Cửa hàng 145 Cao Đạt,wujia_franchise.partner_franchise_h005,0348508795,"145 Cao Đạt, Phường 1, Quận 5, TP.HCM",2026-08-27,,Cấm 6h-9h; 16h-2h,draft,0,0
franchise_h006,H006,Cửa hàng 236/30 Thái Phiên,wujia_franchise.partner_franchise_h006,0906830106,"236/30 Thái Phiên, Phường 8, Quận 11, TP.HCM",2025-07-15,2026-07-15,,expired,0,0
franchise_h007,H007,[H007] Cửa hàng Số 6 Ngô Quyền,wujia_franchise.partner_franchise_h007,0934915808,"Số 6 Ngô Quyền, Phường 6, Quận 10 , TPHCM",2025-06-28,2026-06-28,Cấm đỗ 6h-22h,expired,0,0
franchise_h008,H008,[H008] Cửa hàng 239 QL50,wujia_franchise.partner_franchise_h008,0375437197,"239 QL50, Tổ 7, KP3, Cần Giuộc, Long An.",2024-06-17,2026-06-17,,expired,0,0
franchise_h009,H009,Cửa hàng 54 Trịnh Đình Trọng,wujia_franchise.partner_franchise_h009,0944887079,"54 Trịnh Đình Trọng. Phường Phú Trung, Quận Tân Phú",2025-06-17,2026-06-17,,expired,0,0
franchise_h010,H010,Cửa hàng 219 Vĩnh Viễn,wujia_franchise.partner_franchise_h010,0901763408,"219 Vĩnh Viễn, Phường 4 , Quận 10 , TPHCM",2025-06-03,2026-06-03,"Cấm đỗ ngày lẻ, đường nhỏ (xe 500kg)",expired,0,0
franchise_h011,H011,[H011] Cửa hàng 133 Phú Lợi,wujia_franchise.partner_franchise_h011,0869738138,133 đường Phú Lợi Phường Phú Lợi Thành Phố Thủ Dầu Một Bình Dương,2025-06-17,2026-06-17,,expired,0,0
franchise_h012,H012,Cửa hàng 624 Lê Đức Thọ,wujia_franchise.partner_franchise_h012,0906397420,"624 Lê Đức Thọ, Phường 15, Quận Gò Vấp",2025-07-15,2026-07-15,,expired,0,0
franchise_h013,H013,Cửa hàng 22 Nguyễn Quang Bích,wujia_franchise.partner_franchise_h013,0938028291,"22 Nguyễn Quang Bích, Phường 13, Quận Tân Bình, TP.HCM",2025-07-16,2026-07-16,,expired,0,0
franchise_h014,H014,Cửa hàng 16A/1 KP Thạnh Lợi,wujia_franchise.partner_franchise_h014,0942555179,"Số 16A/1 KP Thạnh Lợi , Phường An Thạnh , TP Thuận An, Bình Dương",2025-09-16,2026-09-16,,active,0,0
