id,code,name,sequence,description,active
res_area_634_bf139c67,634,Long Hải,10,Khu vực Long Hải - Miền Đông Nam Bộ,1
res_area_635_5230e48d,635,Ô Môn,10,Khu vực Ô Môn - Miền Tây,1
res_area_636_c5ef35e9,636,Chợ Gạo,10,Khu vực Chợ Gạo - Miền Tây,1
res_area_637_a2208085,637,Thủ Thừa,10,Khu vực Thủ Thừa - Miền Tây,1
res_area_638_952ea241,638,Vĩnh Cửu,10,Khu vực Vĩnh Cửu - Miền Đông Nam Bộ,1
res_area_639_059a57ee,639,Châu Phú,10,Khu vực Châu Phú - Miền Tây,1
res_area_640_86865edf,640,La Gi,10,Khu vực La Gi - Miền Trung,1
res_area_641_c3f1d227,641,Kiên Lương,10,Khu vực Kiên Lương - Miền Tây,1
res_area_642_f9428ef6,642,Tri Tôn,10,Khu vực Tri Tôn - Miền Tây,1
res_area_643_16928f00,643,Phan Thiết,10,Khu vực Phan Thiết - Miền Trung,1
res_area_644_ee79ec74,644,Bình Minh,10,Khu vực Bình Minh - Miền Tây,1
res_area_645_bc4512d2,645,Chơn Thành,10,Khu vực Chơn Thành - Miền Đông Nam Bộ,1
res_area_646_5e5fbf25,646,Phong Điền,10,Khu vực Phong Điền - Miền Tây,1
res_area_647_d3da4164,647,Tây Ninh,10,Khu vực Tây Ninh - Miền Đông Nam Bộ,1
res_area_649_211d422f,649,Phan Thiết,10,Khu vực Phan Thiết - Miền Trung,1
res_area_650_c14520ad,650,Ba Tri,10,Khu vực Ba Tri - Miền Tây,1
res_area_653_d93c1dc8,653,Hà Tiên,10,Khu vực Hà Tiên - Miền Tây,1
res_area_657_4f36cd30,657,Phú Giáo,10,Khu vực Phú Giáo - Miền Đông Nam Bộ,1
res_area_658_65077bac,658,Châu Thành KG,10,Khu vực Châu Thành KG - Miền Tây,1
res_area_659_f7d7a016,659,Phước Hải,10,Khu vực Phước Hải - Miền Đông Nam Bộ,1
res_area_660_7aae85d6,660,Thoại Sơn,10,Khu vực Thoại Sơn - Miền Tây,1
res_area_661_0471cb7c,661,Giồng Riềng,10,Khu vực Giồng Riềng - Miền Tây,1
res_area_662_149a271a,662,Phụng Hiệp,10,Khu vực Phụng Hiệp - Miền Tây,1
res_area_665_1e2ace57,665,Chợ Mới,10,Khu vực Chợ Mới - Miền Tây,1
res_area_666_24a069e6,666,Phước Long,10,Khu vực Phước Long - Miền Đông Nam Bộ,1
res_area_667_3f9f7f6f,667,Châu Thành AG,10,Khu vực Châu Thành AG - Miền Tây,1
res_area_936_9c78ef6f,936,Long Hồ,10,Khu vực Long Hồ - Miền Tây,1
res_area_937_e8920d99,937,Tịnh Biên,10,Khu vực Tịnh Biên - Miền Tây,1
res_area_941_10a5b78a,941,Đồng Tháp,10,Khu vực Đồng Tháp,1
res_area_942_9e399370,942,Quận 1,10,Khu vực Quận 1 - Miền Nam,1
res_area_943_f052a199,943,Châu Thành LA,10,Khu vực Châu Thành LA - Miền Tây,1
res_area_944_cfb4af4b,944,Châu Đức,10,Khu vực Châu Đức - Miền Đông Nam Bộ,1
res_area_946_43bff023,946,Bình Long,10,Khu vực Bình Long - Miền Đông Nam Bộ,1
res_area_947_8dc50bf0,947,Tân Châu,10,Khu vực Tân Châu - Miền Tây,1
res_area_948_23d9973d,948,Bàu Bàng,10,Khu vực Bàu Bàng - Miền Đông Nam Bộ,1
res_area_949_da8b886a,949,Châu Thành ĐT,10,Khu vực Châu Thành ĐT - Miền Tây,1
res_area_950_1dba6b3d,950,Long Mỹ,10,Khu vực Long Mỹ - Miền Tây,1
res_area_953_08d4ba7e,953,Tháp Mười,10,Khu vực Tháp Mười - Miền Tây,1
res_area_954_ad12e523,954,Quận Hai Bà Trưng,10,Khu vực Quận Hai Bà Trưng - Miền Bắc,1
res_area_955_6aa01c57,955,Lấp Vò,10,Khu vực Lấp Vò - Miền Tây,1
res_area_956_2d1904f5,956,Phước Hiệp,10,Khu vực Phước Hiệp,1
res_area_977_bd585fac,977,Phú Cường,10,Khu vực Phú Cường - Miền Đông Nam Bộ,1
res_area_978_d9f16cc6,978,Phan Rang-Tháp Chàm,10,Khu vực Phan Rang-Tháp Chàm - Miền Trung,1
res_area_979_86be73e4,979,Cần Đăng,10,Khu vực Cần Đăng - Miền Tây,1
res_area_980_98f060bd,980,Châu Thành TG,10,Khu vực Châu Thành TG - Miền Tây,1
res_area_981_da942f3f,981,Văn Miếu-Quốc Tử Giám,10,Khu vực Văn Miếu-Quốc Tử Giám - Miền Bắc,1
res_area_982_100a678a,982,Định Quán,10,Khu vực Định Quán - Miền Đông Nam Bộ,1
res_area_983_71cb65dd,983,Vĩnh Châu,10,Khu vực Vĩnh Châu - Miền Tây,1
res_area_985_3e01d7b7,985,Mỏ Cày,10,Khu vực Mỏ Cày - Miền Tây,1
res_area_987_c7116652,987,Cần Giờ,10,Khu vực Cần Giờ - Miền Nam,1
res_area_988_1ece887a,988,Vũng Liêm,10,Khu vực Vũng Liêm - Miền Tây,1
res_area_990_babeec7d,990,Cờ Đỏ,10,Khu vực Cờ Đỏ - Miền Tây,1
res_area_991_af8ec0a1,991,Thanh Bình,10,Khu vực Thanh Bình - Miền Tây,1
res_area_992_393b78ff,992,Xuân Lộc,10,Khu vực Xuân Lộc - Miền Đông Nam Bộ,1
res_area_993_17e9d035,993,Xuyên Mộc,10,Khu vực Xuyên Mộc - Miền Đông Nam Bộ,1
res_area_994_fa13a671,994,Thới Lai,10,Khu vực Thới Lai - Miền Tây,1
res_area_996_b0bde04a,996,Phú Tân,10,Khu vực Phú Tân - Miền Tây,1
res_area_997_9077b552,997,Phú Tân,10,Khu vực Phú Tân - Miền Tây,1
res_area_998_486f4552,998,Phú Tân,10,Khu vực Phú Tân - Miền Tây,1
res_area_999_a191e4f1,999,Châu Thành HG,10,Khu vực Châu Thành HG - Miền Tây,1
res_area_1000_0639bce8,1000,Lai Vung,10,Khu vực Lai Vung - Miền Tây,1
res_area_1001_a6df7ab5,1001,Dương Minh Châu,10,Khu vực Dương Minh Châu - Miền Đông Nam Bộ,1
res_area_1002_4b5877c7,1002,Giá Rai,10,Khu vực Giá Rai - Miền Tây,1
res_area_1003_3e6ece26,1003,Giá Rai,10,Khu vực Giá Rai,1
res_area_1004_dbf25112,1004,Thuận Giao,10,Khu vực Thuận Giao,1
res_area_1005_de05479d,1005,Tân Trụ,10,Khu vực Tân Trụ - Miền Tây,1
res_area_1006_9ee0f3f1,1006,Tuy Phong,10,Khu vực Tuy Phong - Miền Trung,1
res_area_1007_99eeec13,1007,Rạch Gòi,10,Khu vực Rạch Gòi - Miền Tây,1
res_area_1008_671135c6,1008,Cái Nước,10,Khu vực Cái Nước - Miền Tây,1
res_area_1009_f34ee6c0,1009,Hòa Bình,10,Khu vực Hòa Bình - Miền Tây,1
res_area_1010_41b9ea64,1010,Minh Hưng,10,Khu vực Minh Hưng - Miền Đông Nam Bộ,1
res_area_1011_d2642319,1011,Mỏ Cày Bắc,10,Khu vực Mỏ Cày Bắc - Miền Tây,1
res_area_1012_ba5fa6ad,1012,Tân Phú,10,Khu vực Tân Phú - Miền Đông Nam Bộ,1
res_area_1013_f3d45296,1013,phú mỹ,10,Khu vực phú mỹ,1
res_area_1014_cb846d47,1014,Đồng Phú,10,Khu vực Đồng Phú - Miền Đông Nam Bộ,1
res_area_1015_af31edf1,1015,Tân Phú ĐN,10,Khu vực Tân Phú ĐN - Miền Đông Nam Bộ,1
res_area_1016_797fe58a,1016,Gò Công Tây,10,Khu vực Gò Công Tây,1
res_area_1017_e34f2537,1017,Bình Thuận,10,Khu vực Bình Thuận,1
res_area_1018_1e6b535b,1018,Mũi Né,10,Khu vực Mũi Né - Miền Trung,1
res_area_1019_fcb6b877,1019,Tam Bình,10,Khu vực Tam Bình - Miền Tây,1
res_area_1020_21b4bddf,1020,Tam Nông,10,Khu vực Tam Nông - Miền Tây,1
res_area_1021_4adce237,1021,Bình Tân,10,Khu vực Bình Tân,1
res_area_1022_87debe0d,1022,Bình Tân VL,10,Khu vực Bình Tân VL - Miền Tây,1
res_area_1023_f1d9ec00,1023,Mỹ Lộc,10,Khu vực Mỹ Lộc - Miền Tây,1
res_area_1024_caf66708,1024,Phước Long BL,10,Khu vực Phước Long BL - Miền Tây,1
res_area_1025_8d0f12f8,1025,Kế Sách,10,Khu vực Kế Sách - Miền Tây,1
res_area_1026_61d49e51,1026,Châu Thành TN,10,Khu vực Châu Thành TN - Miền Đông Nam Bộ,1
res_area_1027_8ad8408f,1027,Giao Long,10,Khu vực Giao Long - Miền Tây,1
res_area_1028_f86b3713,1028,An Phú,10,Khu vực An Phú - Miền Tây,1
res_area_1029_4f6131c6,1029,long AN,10,Khu vực long AN,1
res_area_1030_7c93d898,1030,Long An,10,Khu vực Long An,1
res_area_1031_b8d7c9a5,1031,Vĩnh Lộc A,10,Khu vực Vĩnh Lộc A,1
res_area_1032_da68db8e,1032,Thới Sơn,10,Khu vực Thới Sơn,1
res_area_1033_965d835f,1033,Thới Sơn,10,Khu vực Thới Sơn,1
res_area_1034_18fb4713,1034,Trị An,10,Khu vực Trị An - Miền Đông Nam Bộ,1
res_area_1035_8d20e2fb,1035,Tân Đông,10,Khu vực Tân Đông - Miền Đông Nam Bộ,1
res_area_1036_03257a90,1036,Nha Trang,10,Khu vực Nha Trang,1
res_area_1037_8ddf392c,1037,Tân Hồng,10,Khu vực Tân Hồng - Miền Tây,1
res_area_633_3b5ba0bc,633,Đồng Xoài,11,Khu vực Đồng Xoài - Miền Đông Nam Bộ,1
res_area_624_0081f14d,624,Bạc Liêu,12,Khu vực Bạc Liêu - Miền Tây,1
res_area_583_54dc2c37,583,Quận 2,13,Khu vực Quận 2 - Miền Nam,1
res_area_574_808a22a8,574,Quận 3,15,Khu vực Quận 3 - Miền Nam,1
res_area_627_35cc643b,627,Cà Mau,16,Khu vực Cà Mau - Miền Tây,1
res_area_709_8466bd08,709,Quận 4,17,Khu vực Quận 4 - Miền Nam,1
res_area_553_3ced0243,553,Quận 5,18,Khu vực Quận 5 - Miền Nam,1
res_area_710_852bd5aa,710,Quận 1-1,18,Khu vực Quận 1-1 - Miền Nam,1
res_area_552_bac58903,552,Quận 6,19,Khu vực Quận 6 - Miền Nam,1
res_area_576_6f3fcdd6,576,Quận 7,20,Khu vực Quận 7 - Miền Nam,1
res_area_571_10e88f4f,571,Quận 8,21,Khu vực Quận 8 - Miền Nam,1
res_area_628_dd8dccc5,628,Thốt Nốt,22,Khu vực Thốt Nốt - Miền Tây,1
res_area_575_7cdf1d01,575,Quận 9,23,Khu vực Quận 9 - Miền Nam,1
res_area_555_38870158,555,Quận 10,24,Khu vực Quận 10 - Miền Nam,1
res_area_630_9823e22b,630,Châu Đốc,25,Khu vực Châu Đốc - Miền Tây,1
res_area_554_b560c3d7,554,Quận 11,26,Khu vực Quận 11 - Miền Nam,1
