key,option,VN,CN,TH
Franchise Management,menu:wujia_franchise.menu_wujia_franchise_mgmt,Quản lý nhượng quyền,加盟門市管理,การจัดการแฟรนไชส์
Operations,menu:wujia_franchise.menu_wujia_operation_root,Vận hành,營運作業,การดำเนินงาน
Franchise Management,"model:ir.ui.menu,name:wujia_franchise.menu_wujia_franchise_management",Quản lý nhượng quyền,加盟管理,การจัดการแฟรนไชส์
Franchise Members,menu:wujia_franchise.menu_wujia_franchise_member,Thành viên nhượng quyền,加盟成員管理,สมาชิกแฟรนไชส์
Store Supervision,menu:wujia_franchise.menu_wujia_inspection_root,Giám sát cửa hàng,門市督導管理,การตรวจสาขา
Supervision Sheets,"model:ir.ui.menu,name:wujia_franchise.menu_wujia_inspection_sheet",Phiếu giám sát,督導表,แบบฟอร์มการติดตาม
Supervision Schedule,"model_terms:ir.ui.view,arch_db:wujia_supervision_schedule_form",Lịch giám sát,督導日程,ตารางตรวจ
Stores Needing Supervision,"model:ir.ui.menu,name:wujia_franchise.menu_wujia_inspection_pending_store",Cửa hàng cần giám sát,待監督門店,ร้านค้าแห่งนี้ต้องการการดูแลควบคุม
Pending Remediation,menu:wujia_franchise.menu_wujia_franchise_inspection_remediation,Chờ xử lý khắc phục,待改善追蹤,รอการปรับปรุง
Supervision History,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_franchise_management_form",Lịch sử giám sát,督導歷史紀錄,ประวัติการตรวจ
Supervision Configuration,menu:wujia_franchise.menu_wujia_inspection_config,Cấu hình giám sát,督導系統設定,การตั้งค่าการตรวจ
Supervision Templates,"model:ir.ui.menu,name:wujia_franchise.menu_wujia_inspection_template",Mẫu phiếu giám sát,監督表範本,แม่แบบแบบฟอร์มการติดตาม
Criterion Categories,"model:ir.ui.menu,name:wujia_franchise.menu_wujia_inspection_category",Danh mục tiêu chí,評核項目分類,รายการเกณฑ์
Question Bank,"model:ir.ui.menu,name:wujia_franchise.menu_wujia_inspection_question_bank",Thư viện câu hỏi kiểm tra,考題題庫,คลังคำถามทดสอบ
Supervision Ranking,"model:ir.ui.menu,name:wujia_franchise.menu_wujia_inspection_ranking",Xếp hạng giám sát,監督排名,การประเมินการกำกับดูแล
Reports,"model:ir.ui.menu,name:wujia_franchise.menu_wujia_inspection_report_root",Báo cáo,報告,รายงาน
Supervision Result Analysis,"model:ir.ui.menu,name:wujia_franchise.menu_wujia_inspection_report_result",Phân tích kết quả giám sát,監督結果分析,การวิเคราะห์ผลการติดตาม
Violation Analysis,"model:ir.ui.menu,name:wujia_franchise.menu_wujia_inspection_report_violation",Phân tích tiêu chí vi phạm,違規項目分析,การวิเคราะห์เกณฑ์การละเมิด
Configuration,menu:wujia_franchise.menu_wujia_franchise_config,Cấu hình,系統配置,การกำหนดค่า
Area Management,menu:wujia_franchise.menu_wujia_area_mgmt,Quản lý khu vực,區域劃分管理,การจัดการพื้นที่
Areas,menu:wujia_franchise.menu_res_area,Khu vực,營運區域,พื้นที่
State / City,"model:ir.ui.menu,name:wujia_franchise.menu_wujia_config_state",Tỉnh / Thành phố,省／市,จังหวัด/เมือง
Ward / Commune,"model:ir.ui.menu,name:wujia_franchise.menu_wujia_config_ward",Phường / Xã,坊／社,เขต/ชุมชน
Supervision Sheets,"model:ir.actions.act_window,name:wujia_franchise.action_wujia_franchise_inspection",Phiếu giám sát,監督表,แบบฟอร์มการติดตาม
Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__name",Tên phiếu khảo sát,評核表名稱,ชื่อแบบฟอร์มสำรวจ
Store,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__franchise_id",Cửa hàng,門店,ร้านค้า
Supervision Template,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__template_id",Mẫu khảo sát,評核範本,แบบฟอร์มสำรวจ
Inspector,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__inspector_id",Người kiểm tra,督導人員,ผู้ตรวจสอบ
Tested Employee,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__test_employee_name",Nhân viên được kiểm tra,受測員工,พนักงานที่รับการทดสอบ
Planned Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__planned_date",Ngày dự kiến,預計日期,วันที่วางแผน
Total Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__total_score",Tổng điểm,總分,คะแนนรวม
Grade,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__grade_id",Xếp loại,評級,เกรด
Status,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_inspection__state",Trạng thái,狀態,สถานะ
Franchise Management,"model:ir.actions.act_window,name:wujia_franchise.action_franchise_management",Quản lý nhượng quyền,加盟管理,การจัดการแฟรนไชส์
Code,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__code",Mã cửa hàng,店號,รหัสร้านค้า
Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__name",Tên cửa hàng,門店名稱,ชื่อร้านค้า
Area,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__area_id",Khu vực,區域,พื้นที่
Primary Owner,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__main_owner_member_id",Chủ sở hữu chính,主要負責人,เจ้าของหลัก
Franchise Expiration Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__franchise_end_date",Ngày hết hạn nhượng quyền,加盟合約到期日,วันหมดอายุของแฟรนไชส์
Remaining Days,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__remaining_days",Số ngày còn lại,剩餘天數,จำนวนวันที่เหลือ
Member Count,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__member_count",Số lượng thành viên,人員數,จำนวนสมาชิก
Supervisor,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__supervisor_user_id",Nhân viên giám sát,督導人員,เจ้าหน้าที่ตรวจสอบ
Latest Inspection Date,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__latest_inspection_date",Ngày khảo sát gần nhất,最新評核日期,วันที่ประเมินล่าสุด
Latest Score,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__latest_total_score",Điểm mới nhất,最新評核分數,คะแนนล่าสุด
Latest Grade,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__latest_grade_id",Xếp loại mới nhất,最新評核等級,เกรดล่าสุด
Status,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_franchise_management__status",Trạng thái,狀態,สถานะ
Store Supervision Schedule,"model:ir.actions.act_window,name:wujia_franchise.action_wujia_supervision_schedule",Lịch giám sát cửa hàng,門店監督排程,ตารางการตรวจสอบร้านค้า
Draft,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_inspection__state__draft",Nháp,草稿,ตี
In Progress,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_inspection__state__in_progress",Đang thực hiện,進行中,กำลังดำเนินการ
Done,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_inspection__state__done",Hoàn thành,已完成,สมบูรณ์
Need Remediation,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_inspection__state__need_remediation",Cần khắc phục,待改善,ต้องแก้ไข
Cancelled,"model:ir.model.fields.selection,name:wujia_franchise.selection__wujia_franchise_inspection__state__cancel",Đã hủy,已取消,ยกเลิก
Store Supervision Schedule,"model:ir.actions.act_window,name:wujia_franchise.action_wujia_supervision_schedule",Lịch giám sát cửa hàng,門店監督排程,ตารางการตรวจสอบร้านค้า
Store Supervision Schedule,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_tree",Lịch giám sát cửa hàng,門店監督排程,ตารางการตรวจสอบร้านค้า
Store Supervision Schedule,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_calendar",Lịch giám sát cửa hàng,門店監督排程,ตารางการตรวจสอบร้านค้า
Supervision Schedule,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Lịch giám sát,監督排程,ตารางการตรวจสอบ
Supervision Sheet,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Phiếu khảo sát,監督表,แบบฟอร์มสำรวจ
Job Title,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Tiêu đề công việc,工作標題,ตำแหน่งงาน
e.g. July Regular Supervision,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Ví dụ: Giám sát định kỳ tháng 7,例如：7月份定期監督,ตัวอย่าง: การตรวจสอบรายเดือนในเดือนกรกฎาคม
STORE INFORMATION,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",THÔNG TIN CỬA HÀNG,門店資訊,ข้อมูลร้านค้า
Address & Phone,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Địa chỉ & Điện thoại,地址與電話,ที่อยู่และหมายเลขโทรศัพท์
Location,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Vị trí,位置,ตำแหน่ง
Open Google Maps,"model_terms:ir.ui.view,arch_db:wujia_supervision_schedule_form",Xem vị trí Google Map,開啟 Google Maps,เปิด Google Maps
LATEST EVALUATION TIME & RESULT,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",THỜI GIAN & KẾT QUẢ ĐÁNH GIÁ GẦN NHẤT,最近監督時間與結果,เวลาและผลการประเมินล่าสุด
Supervision Time,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Thời gian giám sát,監督時間,เวลาตรวจสอบ
Latest Score,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Điểm mới nhất,最新分數,ข่าวล่าสุด
Latest Grade,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Loại đánh giá mới nhất,最新評核,ประเภทรีวิวล่าสุด
Add detailed notes...,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_form",Thêm ghi chú chi tiết...,添加詳細備註...,เพิ่มบันทึกรายละเอียดเพิ่มเติม...
Search Supervision Schedule,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_search",Tìm kiếm Lịch giám sát,搜尋監督排程,ค้นหาตารางการตรวจสอบ
My Schedule,"model_terms:ir.ui.view,arch_db:wujia_franchise.view_wujia_supervision_schedule_search",Lịch của tôi,我的排程,ปฏิทินของฉัน
Name,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__name",Tiêu đề,標題,ชื่อ
Store,"model:ir.model.fields,field_description:wujia_franchise.field_wujia_supervision_schedule__store_id",Cửa hàng,門店,ร้านค้า
