key,option,VN,CN,TH
Franchise Management,"model:ir.actions.act_window,name:wujia_franchise.action_franchise_management",Quản lý nhượng quyền,加盟門市管理,การจัดการแฟรนไชส์
Create the first franchise store record,"model_terms:ir.actions.act_window,help:wujia_franchise.action_franchise_management",Tạo hồ sơ cửa hàng nhượng quyền đầu tiên,Create the first franchise store record,Create the first franchise store record
"The store record holds the franchise contract: start/end date, area, primary owner,
                status...","model_terms:ir.actions.act_window,help:wujia_franchise.action_franchise_management","Hồ sơ cửa hàng lưu trữ hợp đồng nhượng quyền: ngày bắt đầu/kết thúc, khu vực, chủ sở hữu chính, trạng thái...","The store record holds the franchise contract: start/end date, area, primary owner,
                status...","The store record holds the franchise contract: start/end date, area, primary owner,
                status..."
Stores Needing Inspection,"model:ir.actions.act_window,name:wujia_franchise.action_franchise_needed_inspection",Cửa hàng cần giám sát,待督導門店,ร้านค้าที่ต้องตรวจ
Stores with latest inspection grade C or D needing supervision!,"model_terms:ir.actions.act_window,help:wujia_franchise.action_franchise_needed_inspection",Các cửa hàng có xếp hạng giám sát gần nhất C hoặc D cần được giám sát!,Stores with latest inspection grade C or D needing supervision!,Stores with latest inspection grade C or D needing supervision!
Franchise Inspections,"model:ir.actions.act_window,name:wujia_franchise.action_wujia_franchise_inspection",Phiếu giám sát nhượng quyền,加盟門市督導表,แบบฟอร์มตรวจแฟรนไชส์
Create a new inspection sheet!,"model_terms:ir.actions.act_window,help:wujia_franchise.action_wujia_franchise_inspection",Tạo phiếu giám sát mới!,Create a new inspection sheet!,Create a new inspection sheet!
Inspection Categories,"model:ir.actions.act_window,name:wujia_franchise.action_wujia_franchise_inspection_category",Danh mục tiêu chí,評核項目分類,หมวดหมู่เกณฑ์
Create a new inspection category / group!,"model_terms:ir.actions.act_window,help:wujia_franchise.action_wujia_franchise_inspection_category",Tạo nhóm/danh mục tiêu chí giám sát mới!,Create a new inspection category / group!,Create a new inspection category / group!
Inspection Grades,"model:ir.actions.act_window,name:wujia_franchise.action_wujia_franchise_inspection_grade",Xếp hạng giám sát,評核等級,เกรดการประเมิน
Create the first inspection grade configuration!,"model_terms:ir.actions.act_window,help:wujia_franchise.action_wujia_franchise_inspection_grade",Tạo cấu hình xếp hạng giám sát đầu tiên!,Create the first inspection grade configuration!,Create the first inspection grade configuration!
"Configure grade levels (A, B, C, D...) based on score ranges.","model_terms:ir.actions.act_window,help:wujia_franchise.action_wujia_franchise_inspection_grade","Cấu hình các mức xếp hạng (A, B, C, D...) dựa trên khung điểm.","Configure grade levels (A, B, C, D...) based on score ranges.","Configure grade levels (A, B, C, D...) based on score ranges."
Supervision History,"model:ir.actions.act_window,name:wujia_franchise.action_wujia_franchise_inspection_history",Lịch sử giám sát,督導歷史紀錄,ประวัติการตรวจ
View supervision history!,"model_terms:ir.actions.act_window,help:wujia_franchise.action_wujia_franchise_inspection_history",Xem lịch sử giám sát!,View supervision history!,View supervision history!
Inspection Questions,"model:ir.actions.act_window,name:wujia_franchise.action_wujia_franchise_inspection_question",Tiêu chí / Câu hỏi giám sát,Inspection Questions,Inspection Questions
Create a new inspection question for the library!,"model_terms:ir.actions.act_window,help:wujia_franchise.action_wujia_franchise_inspection_question",Tạo câu hỏi/tiêu chí giám sát mới cho thư viện!,Create a new inspection question for the library!,Create a new inspection question for the library!
Pending Remediation,"model:ir.actions.act_window,name:wujia_franchise.action_wujia_franchise_inspection_remediation",Chờ xử lý khắc phục,待改善追蹤,รอการปรับปรุง
No inspections pending remediation!,"model_terms:ir.actions.act_window,help:wujia_franchise.action_wujia_franchise_inspection_remediation",Không có phiếu giám sát nào đang chờ khắc phục!,No inspections pending remediation!,No inspections pending remediation!
Inspection Results Analysis,"model:ir.actions.act_window,name:wujia_franchise.action_wujia_franchise_inspection_report_result",Phân tích kết quả giám sát,督導結果分析,การวิเคราะห์ผล
Summary report analyzing store supervision scores over time!,"model_terms:ir.actions.act_window,help:wujia_franchise.action_wujia_franchise_inspection_report_result",Báo cáo tổng hợp phân tích điểm số giám sát cửa hàng theo thời gian!,Summary report analyzing store supervision scores over time!,Summary report analyzing store supervision scores over time!
Violation Criteria Analysis,"model:ir.actions.act_window,name:wujia_franchise.action_wujia_franchise_inspection_report_violation",Phân tích tiêu chí vi phạm,違規項目分析,การวิเคราะห์เกณฑ์ละเมิด
Violation criteria analysis report on completed inspection sheets!,"model_terms:ir.actions.act_window,help:wujia_franchise.action_wujia_franchise_inspection_report_violation",Báo cáo phân tích các tiêu chí vi phạm trên các phiếu giám sát đã hoàn thành!,Violation criteria analysis report on completed inspection sheets!,Violation criteria analysis report on completed inspection sheets!
Inspection Templates,"model:ir.actions.act_window,name:wujia_franchise.action_wujia_franchise_inspection_template",Mẫu phiếu giám sát,督導表範本,แม่แบบแบบฟอร์ม
